year,month,file,in_cbd_rows,excl_null_pickup,excl_out_of_window,excl_zero_distance,excl_nonpositive_fare,valid_trips
2024,01,yellow_tripdata_2024-01.parquet,1696963,0,13,29449,19542,1647959
2024,02,yellow_tripdata_2024-02.parquet,1778496,0,10,36968,22111,1719407
2024,03,yellow_tripdata_2024-03.parquet,2129809,0,16,46702,32906,2050185
2024,04,yellow_tripdata_2024-04.parquet,2035634,0,7,20628,31057,1983942
2024,05,yellow_tripdata_2024-05.parquet,2132580,0,17,22087,33008,2077468
2024,06,yellow_tripdata_2024-06.parquet,2092648,0,36,25285,34394,2032933
2025,01,yellow_tripdata_2025-01.parquet,2020204,0,13,50504,75825,1893862
2025,02,yellow_tripdata_2025-02.parquet,2096057,0,26,54666,94802,1946563
2025,03,yellow_tripdata_2025-03.parquet,2406777,0,25,51952,105760,2249040
2025,04,yellow_tripdata_2025-04.parquet,2258764,0,2,45310,92509,2120943
2025,05,yellow_tripdata_2025-05.parquet,2546218,0,15,73117,148831,2324255
2025,06,yellow_tripdata_2025-06.parquet,2440142,0,16,72083,135425,2232618
